MURPHY;male;lifting the radio Of course they did What do you say Dodge Better late than never You got a leak in the number nine  You pump it out and reseam the hull  Fifteen at the most You're kidding right He'll sell the scrap for three times  You got that right You aren't jealous are you Dodge stepping up As I said what seems to be the  I heard you But I'm choosing to  You got about two seconds to get  Epps Candy Red sky in morning sailor take  Alright I'll be right up This is tugboat Arctic Warrior whiskey  to radio Too deep to anchor out there What the hell would a freighter be  Merchant vessel at position one seven  Steer to one eight five Let's check  Alright Back it off Hit the lights Whoa whoa "Chimera" Chimera Chimera I am hove to at your port  Epps come with me You guys sit  We're in a stairwell just under the  This is definitely an old boat maybe  It's funny Besides a little rust everything's  How she got out here is one hell of  finally It's a passenger ship It's a damn  jumping down Whatever the reason she's adrift  We've done it before You have any idea how much a ship  It's a risk I'm willing to take So we cut her loose and wait it out  The damn thing's been floating around  Listen Forget this job's just a pay  Salvage fees on a vessel like this  Think about it A million bucks a  to radio North Island I wish to declare myself  A passenger liner Over A passenger liner north island   Passenger vessel "Chimera" I will  Roger North Island Arctic Warrior  With a little extra fuel weather  The law's on our side If they want  Either way we found it It's ours  What is it How long to fix Some classy tub in it's day huh Chimera Flag ship of the Dobbins  looking through  sitting up Some charts A crew manifest Her destination was Halifax yeah As reasonable an explanation as any  Ever heard of the Mary Celeste She was a twomasted brig boat sailing  Nobody knows There've been a lot of  I think we'd be surprised where a  Only way to be What's this I thought you said it was just a  How much longer's that gonna take I know I know two ways to do anything  But how long We gotta get outa here Dodge A  What about running number two by  How long then How long Goddamit Dodge to radio North Island please repeat Over North Island have you got any  Roger North Island I am tied to  Roger North Island Please advise  Obviously it's some kind of screw  We all want to get outa here Dodge  Morning Guess I must've fallen back to sleep  She take a radio still looking it  Yes it is It's a hell of a lot of money A ship with fifty million dollars in  Not for fifty million An ocean liner  Maybe But there's always somebody  Then it happened before they scuttled  That it could Either way they must've had a pretty  A salvage claim to a vessel's cargo's  It looks like it We leave it where it is Stick to  So we get a little more for the boat  It's worth the effort Believe me   For now the best thing we can do is  Dodge you gotta get on those repairs The sooner we get under way the  Terrific How's that leg We could call for help to radio Roger that North Island Arctic  Not much at all I guess Retire   How about you Epps Greer Dreamin's all any of you're gonna be  Warm water current maybe making the  Take it easy you'll live longer Who What guy What What the hell're you talking  Are you sure You sure it wasn't me If somebody's aboard her already  Not in the eyes of the law We don't exactly have the best  And what do you propose That we  Let's just take it easy here alright  Would you hold on just a minute here  We'll stand a watch Four on eight  Dodge get on that turbine I don't  We'll have to take it easy then I  If he's reasonable maybe we can  No cowboy shit up there understand Got your light Murphy to Epps Murphy to Epps You just shoot at something Bodies're too fresh Greek citizen Merchant navy Could be meant as a warning That'd be my guess Maybe Dodge if this isn't incentive enough  Can't you use something else Do what you need to do Just do it  Captain relieved of command This is Murphy Anybody trying to  Greer Dodge Who is this Who is this Greer Dodge taking radio What is it He must've seen something Just before I heard him yell there  I don't know No Not Greer   It was a man's voice Repeating some  I'll call us in Dodge see how many  to radio to radio to radio How's he doing No I'll try again later Possibly false Hence the IMA record  If they knew what they were carrying If they were close enough to shore  How do you mean I guess the best strategy's just to  What do you propose There's no way we're gonna hide a  Tell you what Dodge Once we get  Just what the hell do you think you're  I think you know The radio You smashed it Don't lie to me You didn't want us calling anybody   Conveniently enough for you Drink up then How're you feeling You don't remember You've been out for about a day Dodge found you out cold in one of  We heard you scream Any idea what  The ah the radio's out Somebody took it out of commission  Smashed it up pretty bad Regardless of how it happened there  February first Must not've been the captain's entry  Collision With what But where's the damage If it was a ship she hit to radio What the hell happened Alright Everybody grab your gear   Dodge The coast guard has our last position  Let 'em ask This ship's legally  grabbing Dodge Shut up I said shut the hell up Both of you I don't want to hear it  So just stow it You understand If money can buy what he wants Then you're a lucky man We'll stand the watch on deck tonight  Tomorrow we'll see if we can't find  Let's just hope somebody sees us  It's a Noaa buoy Government weather It's got a  Let's go let's go let's go The mooring hasn't come taught Doesn't matter Damn it Hey Wish I could say the same I guess that's the sixty four thousand  Never mind Before your time I don't know are we Not our mystery guest again Not real What like some kind of ghost Showing you what Maybe it was one of them did the  Victims of what That much I think we've already  What's that supposed to mean Why you How come the rest of us  Well Getting off this ship's exactly  Do me a favor and wake up Dodge   And Epps You can tell the others about this   You're late handing him the  Dodge Murphy to Epps Either of you seen Dodge He's not on deck and I can't raise  He took the shotgun and a light Alright We stay together Nobody  into radio Murphy to Dodge Do you copy Over Greer So whoever did this now has our  Leave him till we can get some help Leave it You think whoever did this is  Nobody's going anywhere with that  Smashed the radio Scuttled the boat  What do you think Over the gold Crazy with greed Not crazy Not  We lash a few of these together it  Hard to say which is worse staying  It's not the weather I'm worried  Epps to Murphy We hit land We're in an island chain It's only  Let's get the hell out of here It should be enough to get us to one  Prop it here We need to pull these  I'll take that It was only a matter of time before  The way I figure it it was them or  I didn't want it to turn out this  I think I see it pretty well I know a little bit about human nature  I think maybe you been on this boat  I wish I could believe that Either  I'm sorry There's no reason to make this any 
VASILI;male;I thought you say Tuesday seeing the listing  No no You got leak That cost me twenty grand at least Twenty You knock off twenty and  You want fair pay make hamburger 
KATIE;female;Maybe last year It's not your color anyway It isn't real Many bad things have happened here  
JAMIE;female;Oh God it's coming  It's coming    continuing Please  give him to me     continuing    continuing Oh God  He's coming No  Drive  Goddamnit drive God  Help us please    No No  NO Please Michael  Help me
KARA;female;Danny    continuing Danny no one's there It's all right Mom  Go back to bed Stay away monters stay away ghouls Stay away  Home is here in Grandma and Grandpa's new  They did did they  Since when did we start  You've been watching too much TV Like what    continuing Okay  But just for tonight    continuing    indignant I'd better get Danny to school Let's go Danny I'm sorry Mom Stay away from her you bastard Another episode of 'Daddy Knows Best' at the  Beth who's that guy that lives across the hall  No  I keep seeing him staring out his window   Tim do you always have to act like such an  Who is that  I can't find my term paper Thorn  Mom I'm home  Hello Mom Mom  Danny    continuing Who the hell are you What are you doing with my son Where's my     fortissimo My God  What have you done to him You stay away from him    indignantly to Tommy    to Tommy Do you know how insane this is  Who am I     snapping Here  Let me try    continuing fawning Why would anyone want to kill an innocent baby It's a rune  Thorn Runes were a kind of early alphabet that  Halloween    terrified Oh God  Where's Danny Kara flies down the  Danny  Danny    grabs him Mrs Blankenship what did you mean about the     continuing insistent What voice  What are you talking about His what There's nothing to be scared of baby It's just another  No one's coming to get you  Not while I'm around    kisses him Beth are you in there    into phone What are you doing there  Where's my mother I'm across the street  I can see you Beth I want you to  Beth look out  There's someone in the room  He's right  Danny no     the faintest whisper    intense whisper Danny run  Danny come to Mommy Danny help me Danny Please  Open the door Please  Somebody help us Help us please Where's the baby Danny  Danny where are you Danny no  please  Mrs Blankenship  Oh God  Hurry We have to    Danny Michael please  You can make him stop  You remember     continuing Danny don't listen  The voice isn't real Danny What now Come on How will we ever find him
DANNY;male;The voice man  He's here Mommy when can we go home The kids at school said this is a haunted  But I've seen him He says things  Bad things    sitting up panicked Tommy's my new friend  We've been playing 'til  It wasn't Tommy  It was the voice man Mom I want to go to the fair  Come on Mom  We're gonna miss all the fun  Mommy I'm scared I can't  The voice man is coming to get me Promise  Mommy Mommy  Please help me Mommy
DEBRA;female;Let me take him for you Kara Relax John  They were just kids You'll never pass that exam on an empty     continuing reading John please don't  Kara wait  John  Can't we all just sit  John  Stop it  Stop it I thought inheriting your father's house   Great    defensively    near tears Jamie  But I thought she was  What should I do God  this can't be true John it's me  Something terrible has  A man came by the house  A psychiatrist by the     continuing    releasing I'm getting the children out of here At least  You knew didn't you John  You knew Hello Oh God 
TOMMY;male;My name's Tommy  I was only eight yearsold  Michael's work isn't finished in Haddonfield   Can you tell me if a bus arrived from     walking away  Jesus  Okay little guy  You're okay I need to see a doctor Iit's a baby  my baby  There's been  been     explodes Dr Loomis thank God you're here  You heard  I'm Tommy  Tommy Doyle  Laurie Strode   Please  just tell me the truth  Has Michael  I know he's alive  People in this town  they     gravely    continuing startled realization    continuing Shhh  Okay okay Kyle  You like that name      continuing It's okay big guy  Don't you worry I'm gonna  II'm your neighbor from across the street  My  She wasn't here when I brought Danny home  I didn't  He got in a fight and I  I want you to listen very carefully to  Quiet around here tonight huh Mrs B I want you to watch your house  You can see  Him Shhh  It's okay Kyle  Just give me one  God what's wrong with him Kyle's mother might be dead for all I know   Not just Kyle  All of you  His entire family     continuing Black magic   'When applied directly to another person Thorn  To find the rest of your family before Michael  Mrs Blankenship have you seen the little boy  Take the kids upstairs lock the door and wait    Stop that man  Stop him Stop that man  He's the one  Dr Loomis there's something you should  Oh my God  Get them out of there  Get out Oh God  Kara The baby  where's the baby He's gone    continuing No  there had to be someone else Who knew No Kara no  Holy shit  This way    realization    tries it again    continuing
DWAYNE;male;   chortles
WYNN;andy;Christ what a night  Not even so much as a  Unlike you Sam I learned many years ago not  As always your keen powers of perception  Retiring Of course I need a new Administrator Someone     continuing You're the only man for the job Sam Things  Seems to me there's at least one ghost that's  But with Rogers and his house of hacks gone  You don't know that for sure  It could have  After six years  Sam she died with him in  Cancel all my appointments  Get Dr Loomis  That's right  We think there's a very good     continuing    pointing Official business Sam don't  let them take care of her There's nothing more you can do for her    continuing There you are  Who was that boy Don't do this to yourself Sam  Let's go   What is it Then where's her baby What is this all about  Remove those Sam you know you never fail to amaze me  Yesterday     continuing Your madness is another man's greatness  This is the way     lights a cigarette She has the gift  the blood of Thorn running through her  There you go trying to make sense again  And I'm its deliverer     continuing Look at him  So silent yet so deadly He moves when I     continuing    continuing    continuing Amazing isn't it  I even taught him to drive    continuing    prophetically Spirits and powers of the flame attend and witness this  Strong and fierce Thorn Thundered by thy hammer we summon     continuing Kill him Danny  Kill him Kill him Danny  You feel the rage inside  You are Thorn Stay away Sam    smiles trenchantly
